,neighbourhood_group,room_type,price,Popularity,Reviews,required_nights
3757,Manhattan,Private room,105,Very Popular,Less than 50 reviews,Short term rent is available
3758,Manhattan,Entire home/apt,100,Very Popular,Less than 10 reviews,At least a week should be reserved
3759,Manhattan,Private room,102,Very Popular,Less than 10 reviews,Short term rent is available
3760,Brooklyn,Entire home/apt,152,Very Affordable,Over 300 reviews,Short term rent is available
3761,Brooklyn,Entire home/apt,150,Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
3762,Queens,Entire home/apt,95,Very Popular,Less than 50 reviews,Short term rent is available
3763,Brooklyn,Private room,67,Very Affordable,Less than 150 reviews,Short term rent is available
3764,Brooklyn,Private room,65,Popular,Less than 150 reviews,Short term rent is available
3765,Brooklyn,Private room,79,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
3766,Brooklyn,Private room,55,Normal,Less than 300 reviews,Short term rent is available
3767,Manhattan,Entire home/apt,83,Very Popular,Less than 10 reviews,At least more than a month should be reserved
3768,Manhattan,Entire home/apt,200,Affordable,Less than 50 reviews,At least more than a month should be reserved
3769,Manhattan,Entire home/apt,160,Very Affordable,Less than 50 reviews,At least a week should be reserved
3770,Queens,Entire home/apt,80,Popular,Less than 150 reviews,Short term rent is available
3771,Manhattan,Entire home/apt,159,Very Popular,Less than 10 reviews,Short term rent is available
3772,Manhattan,Entire home/apt,90,Very Popular,Less than 50 reviews,At least more than a month should be reserved
3773,Brooklyn,Shared room,45,Very Popular,Less than 50 reviews,Short term rent is available
3774,Manhattan,Private room,100,Very Affordable,Less than 150 reviews,Short term rent is available
3775,Brooklyn,Entire home/apt,125,Popular,Less than 50 reviews,Short term rent is available
3776,Manhattan,Private room,80,Affordable,Less than 150 reviews,Short term rent is available
3777,Manhattan,Entire home/apt,2300,Normal,Less than 50 reviews,Short term rent is available
3778,Brooklyn,Entire home/apt,90,Very Affordable,Less than 150 reviews,At least more than a month should be reserved
3779,Manhattan,Entire home/apt,140,Very Popular,Less than 10 reviews,Short term rent is available
3780,Brooklyn,Private room,52,Very Affordable,Less than 10 reviews,Short term rent is available
3781,Manhattan,Entire home/apt,200,Very Popular,Less than 10 reviews,Short term rent is available
3782,Brooklyn,Shared room,40,Very Popular,Less than 10 reviews,Short term rent is available
3783,Queens,Private room,55,Popular,Less than 50 reviews,Short term rent is available
3784,Brooklyn,Private room,69,Very Popular,Less than 10 reviews,Short term rent is available
3785,Manhattan,Entire home/apt,200,Very Popular,Less than 10 reviews,Short term rent is available
3786,Brooklyn,Entire home/apt,100,Very Affordable,Less than 150 reviews,Short term rent is available
3787,Brooklyn,Entire home/apt,53,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
3788,Manhattan,Private room,425,Very Affordable,Less than 50 reviews,Short term rent is available
3789,Bronx,Private room,40,Very Affordable,Less than 50 reviews,Short term rent is available
3790,Brooklyn,Private room,40,Very Popular,Less than 50 reviews,Short term rent is available
3791,Manhattan,Private room,65,Very Popular,Less than 10 reviews,Short term rent is available
3792,Manhattan,Private room,109,Normal,Less than 300 reviews,Short term rent is available
3793,Queens,Private room,60,Very Affordable,Less than 150 reviews,Short term rent is available
3794,Brooklyn,Entire home/apt,180,Very Popular,Less than 50 reviews,Short term rent is available
3795,Queens,Private room,95,Popular,Less than 150 reviews,Short term rent is available
3796,Manhattan,Private room,140,Very Affordable,Less than 50 reviews,At least a week should be reserved
3797,Queens,Entire home/apt,155,Very Popular,Less than 10 reviews,Short term rent is available
3798,Manhattan,Entire home/apt,105,Very Popular,Less than 150 reviews,Short term rent is available
3799,Brooklyn,Private room,45,Very Affordable,Less than 150 reviews,Short term rent is available
3800,Brooklyn,Entire home/apt,330,Very Popular,Less than 10 reviews,At least a week should be reserved
3801,Manhattan,Private room,100,Very Affordable,Less than 300 reviews,Short term rent is available
3802,Brooklyn,Private room,49,Very Affordable,Less than 150 reviews,Short term rent is available
3803,Brooklyn,Entire home/apt,65,Normal,Less than 10 reviews,Short term rent is available
3804,Manhattan,Private room,70,Very Popular,Less than 10 reviews,Short term rent is available
3805,Manhattan,Entire home/apt,180,Very Popular,Less than 10 reviews,Short term rent is available
3806,Queens,Entire home/apt,130,Very Popular,Less than 10 reviews,At least more than a month should be reserved
3807,Brooklyn,Entire home/apt,225,Normal,Less than 150 reviews,Short term rent is available
3808,Manhattan,Private room,85,Very Affordable,Less than 50 reviews,Short term rent is available
3809,Manhattan,Entire home/apt,99,Normal,Less than 10 reviews,At least more than a month should be reserved
3810,Queens,Private room,95,Normal,Less than 300 reviews,Short term rent is available
3811,Queens,Entire home/apt,400,Very Affordable,Less than 10 reviews,Short term rent is available
3812,Manhattan,Private room,99,Very Affordable,Less than 150 reviews,Short term rent is available
3813,Manhattan,Private room,85,Very Affordable,Less than 150 reviews,Short term rent is available
3814,Manhattan,Entire home/apt,90,Very Popular,Less than 50 reviews,Short term rent is available
3815,Brooklyn,Entire home/apt,85,Popular,Less than 50 reviews,Short term rent is available
3816,Manhattan,Entire home/apt,130,Very Popular,Less than 10 reviews,Short term rent is available
3817,Manhattan,Private room,95,Very Popular,Less than 50 reviews,Short term rent is available
3818,Brooklyn,Entire home/apt,149,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3819,Brooklyn,Entire home/apt,225,Very Popular,Less than 10 reviews,At least a week should be reserved
3820,Brooklyn,Entire home/apt,135,Very Popular,Less than 10 reviews,Short term rent is available
3821,Manhattan,Entire home/apt,140,Very Popular,Less than 50 reviews,Short term rent is available
3822,Manhattan,Entire home/apt,200,Very Popular,Less than 10 reviews,Short term rent is available
3823,Brooklyn,Entire home/apt,159,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3824,Brooklyn,Entire home/apt,200,Popular,Less than 50 reviews,Short term rent is available
3825,Brooklyn,Entire home/apt,155,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
3826,Brooklyn,Entire home/apt,125,Very Popular,Less than 50 reviews,Sublet only
3827,Bronx,Private room,71,Popular,Less than 50 reviews,Short term rent is available
3828,Brooklyn,Private room,75,Very Affordable,Less than 50 reviews,Short term rent is available
3829,Manhattan,Entire home/apt,275,Affordable,Less than 10 reviews,Short term rent is available
3830,Manhattan,Entire home/apt,250,Very Popular,Less than 10 reviews,Short term rent is available
3831,Brooklyn,Entire home/apt,200,Popular,Less than 150 reviews,Short term rent is available
3832,Brooklyn,Entire home/apt,90,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3833,Brooklyn,Private room,50,Very Popular,Less than 10 reviews,Short term rent is available
3834,Brooklyn,Entire home/apt,124,Affordable,Less than 150 reviews,Short term rent is available
3835,Queens,Private room,50,Very Affordable,Less than 50 reviews,Short term rent is available
3836,Manhattan,Private room,75,Very Popular,Less than 10 reviews,Short term rent is available
3837,Manhattan,Private room,90,Very Popular,Less than 10 reviews,Short term rent is available
3838,Brooklyn,Entire home/apt,130,Very Affordable,Less than 150 reviews,Short term rent is available
3839,Manhattan,Entire home/apt,140,Very Popular,Less than 50 reviews,Short term rent is available
3840,Brooklyn,Entire home/apt,200,Very Popular,Less than 10 reviews,Short term rent is available
3841,Brooklyn,Entire home/apt,350,Very Popular,Less than 10 reviews,Short term rent is available
3842,Manhattan,Entire home/apt,100,Very Popular,Less than 50 reviews,Short term rent is available
3843,Queens,Entire home/apt,225,Very Popular,Less than 10 reviews,Short term rent is available
3844,Brooklyn,Private room,65,Very Popular,Less than 10 reviews,Short term rent is available
3845,Brooklyn,Entire home/apt,145,Very Affordable,Less than 300 reviews,Short term rent is available
3846,Manhattan,Entire home/apt,189,Very Popular,Less than 50 reviews,Short term rent is available
3847,Manhattan,Entire home/apt,265,Very Popular,Less than 10 reviews,Short term rent is available
3848,Manhattan,Entire home/apt,409,Very Popular,Less than 10 reviews,Short term rent is available
3849,Brooklyn,Private room,95,Very Popular,Less than 50 reviews,Short term rent is available
3850,Manhattan,Private room,175,Very Affordable,Less than 150 reviews,Short term rent is available
3851,Queens,Private room,55,Popular,Less than 150 reviews,Short term rent is available
3852,Manhattan,Entire home/apt,200,Very Affordable,Less than 50 reviews,Short term rent is available
3853,Manhattan,Entire home/apt,200,Popular,Less than 150 reviews,Short term rent is available
3854,Brooklyn,Private room,69,Very Affordable,Less than 300 reviews,Short term rent is available
3855,Brooklyn,Entire home/apt,135,Popular,Less than 50 reviews,Short term rent is available
3856,Brooklyn,Entire home/apt,325,Very Popular,Less than 50 reviews,Short term rent is available
3857,Manhattan,Private room,95,Very Popular,Less than 300 reviews,Short term rent is available
3858,Manhattan,Entire home/apt,117,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3859,Manhattan,Private room,59,Normal,Less than 150 reviews,At least more than a month should be reserved
3860,Manhattan,Shared room,85,Affordable,Less than 150 reviews,Short term rent is available
3861,Queens,Private room,55,Very Affordable,Less than 150 reviews,Short term rent is available
3862,Brooklyn,Private room,80,Very Popular,Over 300 reviews,Short term rent is available
3863,Brooklyn,Entire home/apt,115,Very Popular,Less than 10 reviews,At least a week should be reserved
3864,Manhattan,Private room,78,Popular,Less than 50 reviews,At least a week should be reserved
3865,Manhattan,Private room,150,Very Affordable,Less than 50 reviews,Short term rent is available
3866,Brooklyn,Entire home/apt,195,Very Popular,Less than 10 reviews,Short term rent is available
3867,Brooklyn,Entire home/apt,142,Affordable,Less than 10 reviews,At least a week should be reserved
3868,Bronx,Shared room,55,Very Affordable,Less than 50 reviews,At least a week should be reserved
3869,Brooklyn,Entire home/apt,97,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3870,Brooklyn,Entire home/apt,70,Very Affordable,Less than 50 reviews,At least more than 2 weeks should be reserved
3871,Manhattan,Shared room,70,Very Affordable,Less than 300 reviews,Short term rent is available
3872,Manhattan,Private room,155,Popular,Less than 50 reviews,Short term rent is available
3873,Brooklyn,Entire home/apt,68,Very Popular,Less than 10 reviews,At least more than a month should be reserved
3874,Manhattan,Private room,68,Normal,Less than 50 reviews,At least a week should be reserved
3875,Brooklyn,Entire home/apt,150,Popular,Less than 150 reviews,Short term rent is available
3876,Manhattan,Entire home/apt,150,Very Popular,Less than 10 reviews,Short term rent is available
3877,Manhattan,Private room,100,Very Affordable,Less than 10 reviews,Short term rent is available
3878,Manhattan,Entire home/apt,110,Very Affordable,Less than 150 reviews,At least more than a month should be reserved
3879,Brooklyn,Entire home/apt,150,Very Popular,Less than 10 reviews,Short term rent is available
3880,Manhattan,Entire home/apt,218,Very Affordable,Less than 150 reviews,Short term rent is available
3881,Manhattan,Entire home/apt,430,Very Popular,Less than 50 reviews,Short term rent is available
3882,Brooklyn,Private room,79,Normal,Less than 150 reviews,Short term rent is available
3883,Manhattan,Entire home/apt,120,Normal,Less than 150 reviews,Short term rent is available
3884,Brooklyn,Entire home/apt,200,Very Popular,Less than 50 reviews,Short term rent is available
3885,Manhattan,Private room,120,Very Popular,Less than 50 reviews,Short term rent is available
3886,Manhattan,Entire home/apt,200,Very Popular,Less than 50 reviews,At least more than a month should be reserved
3887,Staten Island,Entire home/apt,75,Very Popular,Less than 10 reviews,Short term rent is available
3888,Brooklyn,Entire home/apt,175,Very Popular,Less than 10 reviews,Short term rent is available
3889,Brooklyn,Entire home/apt,76,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3890,Manhattan,Entire home/apt,75,Very Popular,Less than 10 reviews,Short term rent is available
3891,Brooklyn,Entire home/apt,400,Affordable,Less than 50 reviews,At least more than a month should be reserved
3892,Queens,Private room,75,Very Affordable,Less than 50 reviews,Short term rent is available
3893,Manhattan,Entire home/apt,189,Very Popular,Less than 10 reviews,Short term rent is available
3894,Queens,Private room,55,Very Popular,Less than 10 reviews,Short term rent is available
3895,Brooklyn,Private room,80,Very Popular,Less than 50 reviews,Short term rent is available
3896,Brooklyn,Private room,69,Very Affordable,Less than 50 reviews,Short term rent is available
3897,Manhattan,Private room,100,Very Popular,Less than 10 reviews,Short term rent is available
3898,Queens,Entire home/apt,100,Very Popular,Less than 10 reviews,Short term rent is available
3899,Manhattan,Entire home/apt,300,Very Affordable,Less than 50 reviews,Short term rent is available
3900,Manhattan,Private room,53,Normal,Less than 300 reviews,Short term rent is available
3901,Manhattan,Entire home/apt,179,Very Popular,Less than 50 reviews,Short term rent is available
3902,Queens,Entire home/apt,130,Affordable,Less than 50 reviews,Short term rent is available
3903,Bronx,Entire home/apt,120,Very Popular,Less than 150 reviews,Short term rent is available
3904,Brooklyn,Private room,150,Very Popular,Less than 50 reviews,At least a week should be reserved
3905,Manhattan,Entire home/apt,105,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3906,Brooklyn,Entire home/apt,150,Affordable,Less than 300 reviews,Short term rent is available
3907,Manhattan,Entire home/apt,200,Very Popular,Less than 10 reviews,Short term rent is available
3908,Manhattan,Private room,39,Affordable,Less than 50 reviews,At least more than a month should be reserved
3909,Manhattan,Entire home/apt,67,Very Popular,Less than 10 reviews,Short term rent is available
3910,Manhattan,Entire home/apt,200,Popular,Less than 10 reviews,Short term rent is available
3911,Brooklyn,Entire home/apt,129,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3912,Brooklyn,Private room,55,Very Affordable,Less than 150 reviews,Short term rent is available
3913,Queens,Private room,65,Affordable,Less than 50 reviews,At least more than a month should be reserved
3914,Manhattan,Entire home/apt,100,Very Popular,Less than 50 reviews,Short term rent is available
3915,Manhattan,Entire home/apt,240,Very Popular,Less than 10 reviews,Short term rent is available
3916,Manhattan,Entire home/apt,150,Normal,Less than 50 reviews,Short term rent is available
3917,Manhattan,Entire home/apt,299,Very Affordable,Less than 300 reviews,Short term rent is available
3918,Queens,Entire home/apt,160,Very Affordable,Less than 300 reviews,Short term rent is available
3919,Brooklyn,Entire home/apt,199,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3920,Manhattan,Private room,100,Very Popular,Less than 50 reviews,Short term rent is available
3921,Manhattan,Private room,45,Popular,Less than 150 reviews,Short term rent is available
3922,Bronx,Private room,44,Popular,Less than 150 reviews,Short term rent is available
3923,Manhattan,Entire home/apt,185,Very Popular,Less than 10 reviews,Short term rent is available
3924,Manhattan,Entire home/apt,650,Very Affordable,Less than 150 reviews,Short term rent is available
3925,Brooklyn,Private room,100,Very Popular,Less than 50 reviews,Short term rent is available
3926,Manhattan,Private room,111,Very Affordable,Less than 150 reviews,Short term rent is available
3927,Manhattan,Entire home/apt,99,Normal,Less than 10 reviews,At least more than a month should be reserved
3928,Brooklyn,Private room,75,Popular,Less than 50 reviews,At least a week should be reserved
3929,Manhattan,Entire home/apt,103,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3930,Queens,Entire home/apt,130,Very Popular,Less than 150 reviews,Short term rent is available
3931,Manhattan,Entire home/apt,109,Normal,Less than 50 reviews,At least more than a month should be reserved
3932,Brooklyn,Entire home/apt,100,Very Popular,Less than 10 reviews,Short term rent is available
3933,Brooklyn,Entire home/apt,155,Popular,Less than 10 reviews,At least more than 2 weeks should be reserved
3934,Queens,Private room,60,Normal,Less than 150 reviews,Short term rent is available
3935,Brooklyn,Entire home/apt,195,Very Popular,Less than 50 reviews,Short term rent is available
3936,Queens,Entire home/apt,69,Popular,Less than 150 reviews,Short term rent is available
3937,Manhattan,Private room,72,Very Affordable,Less than 150 reviews,Short term rent is available
3938,Brooklyn,Entire home/apt,300,Very Affordable,Less than 50 reviews,Short term rent is available
3939,Manhattan,Entire home/apt,119,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3940,Brooklyn,Private room,100,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
3941,Brooklyn,Private room,199,Very Affordable,Less than 150 reviews,Short term rent is available
3942,Manhattan,Private room,75,Normal,Less than 10 reviews,Short term rent is available
3943,Brooklyn,Private room,100,Normal,Less than 150 reviews,At least more than 2 weeks should be reserved
3944,Manhattan,Entire home/apt,125,Very Popular,Less than 50 reviews,Short term rent is available
3945,Queens,Entire home/apt,95,Very Popular,Less than 50 reviews,Short term rent is available
3946,Brooklyn,Entire home/apt,295,Affordable,Less than 150 reviews,Short term rent is available
3947,Queens,Private room,149,Very Affordable,Less than 50 reviews,Short term rent is available
3948,Manhattan,Entire home/apt,150,Very Popular,Less than 10 reviews,At least a week should be reserved
3949,Brooklyn,Entire home/apt,100,Very Affordable,Less than 300 reviews,Short term rent is available
3950,Manhattan,Entire home/apt,385,Affordable,Less than 50 reviews,Short term rent is available
3951,Brooklyn,Entire home/apt,87,Very Affordable,Less than 150 reviews,Short term rent is available
3952,Manhattan,Entire home/apt,180,Affordable,Less than 10 reviews,Short term rent is available
3953,Queens,Private room,59,Affordable,Less than 50 reviews,Short term rent is available
3954,Staten Island,Private room,95,Very Affordable,Less than 300 reviews,Short term rent is available
3955,Manhattan,Entire home/apt,130,Affordable,Less than 10 reviews,At least more than 2 weeks should be reserved
3956,Brooklyn,Entire home/apt,120,Very Affordable,Less than 150 reviews,Short term rent is available
3957,Manhattan,Private room,113,Popular,Less than 300 reviews,Short term rent is available
3958,Queens,Private room,60,Very Affordable,Less than 150 reviews,Short term rent is available
3959,Brooklyn,Private room,40,Very Affordable,Less than 50 reviews,At least a week should be reserved
3960,Manhattan,Entire home/apt,250,Very Popular,Less than 10 reviews,Short term rent is available
3961,Brooklyn,Entire home/apt,149,Very Popular,Less than 10 reviews,Short term rent is available
3962,Brooklyn,Entire home/apt,169,Very Popular,Less than 50 reviews,Short term rent is available
3963,Brooklyn,Private room,105,Normal,Less than 150 reviews,Short term rent is available
3964,Brooklyn,Private room,42,Very Popular,Less than 10 reviews,At least a week should be reserved
3965,Manhattan,Entire home/apt,200,Very Popular,Less than 10 reviews,Short term rent is available
3966,Brooklyn,Entire home/apt,160,Very Affordable,Less than 50 reviews,Short term rent is available
3967,Brooklyn,Private room,155,Very Popular,Less than 50 reviews,Short term rent is available
3968,Brooklyn,Entire home/apt,151,Very Affordable,Less than 50 reviews,Short term rent is available
3969,Manhattan,Entire home/apt,200,Very Popular,Less than 10 reviews,Short term rent is available
3970,Brooklyn,Private room,80,Very Popular,Less than 10 reviews,Short term rent is available
3971,Queens,Entire home/apt,119,Very Popular,Less than 10 reviews,Short term rent is available
3972,Brooklyn,Private room,5000,Very Affordable,Less than 50 reviews,Short term rent is available
3973,Brooklyn,Private room,45,Normal,Less than 150 reviews,Short term rent is available
3974,Brooklyn,Entire home/apt,115,Very Popular,Less than 10 reviews,At least a week should be reserved
3975,Brooklyn,Private room,65,Very Affordable,Less than 150 reviews,Short term rent is available
3976,Manhattan,Private room,87,Popular,Less than 10 reviews,Short term rent is available
3977,Manhattan,Private room,110,Very Popular,Less than 10 reviews,At least a week should be reserved
3978,Brooklyn,Private room,80,Very Popular,Less than 150 reviews,Short term rent is available
3979,Brooklyn,Private room,63,Very Affordable,Less than 150 reviews,Short term rent is available
3980,Brooklyn,Entire home/apt,200,Popular,Less than 50 reviews,Short term rent is available
3981,Brooklyn,Entire home/apt,185,Very Popular,Less than 10 reviews,Short term rent is available
3982,Manhattan,Entire home/apt,250,Very Popular,Less than 50 reviews,Short term rent is available
3983,Manhattan,Entire home/apt,130,Affordable,Less than 150 reviews,Short term rent is available
3984,Brooklyn,Entire home/apt,185,Very Affordable,Less than 150 reviews,Short term rent is available
3985,Brooklyn,Private room,75,Very Popular,Less than 10 reviews,Short term rent is available
3986,Manhattan,Entire home/apt,240,Popular,Less than 300 reviews,Short term rent is available
3987,Brooklyn,Private room,65,Very Popular,Less than 10 reviews,Short term rent is available
3988,Manhattan,Entire home/apt,195,Very Popular,Less than 50 reviews,Short term rent is available
3989,Manhattan,Entire home/apt,200,Very Popular,Less than 50 reviews,Short term rent is available
3990,Manhattan,Private room,120,Very Affordable,Less than 300 reviews,Short term rent is available
3991,Brooklyn,Entire home/apt,180,Affordable,Less than 300 reviews,Short term rent is available
3992,Queens,Private room,53,Affordable,Less than 150 reviews,Short term rent is available
3993,Manhattan,Entire home/apt,200,Very Popular,Less than 50 reviews,Short term rent is available
3994,Manhattan,Private room,100,Very Popular,Less than 150 reviews,Short term rent is available
3995,Brooklyn,Entire home/apt,86,Very Popular,Less than 150 reviews,Short term rent is available
3996,Manhattan,Entire home/apt,225,Very Popular,Less than 10 reviews,Short term rent is available
3997,Queens,Private room,40,Very Affordable,Less than 150 reviews,Short term rent is available
3998,Manhattan,Entire home/apt,60,Very Affordable,Less than 10 reviews,Sublet only
3999,Queens,Private room,70,Very Affordable,Less than 50 reviews,Short term rent is available
4000,Queens,Private room,35,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4001,Manhattan,Entire home/apt,250,Very Affordable,Less than 150 reviews,Short term rent is available
4002,Brooklyn,Entire home/apt,4500,Very Affordable,Less than 10 reviews,Short term rent is available
4003,Brooklyn,Entire home/apt,8000,Very Affordable,Less than 10 reviews,Short term rent is available
4004,Queens,Entire home/apt,255,Very Affordable,Less than 150 reviews,Short term rent is available
4005,Manhattan,Entire home/apt,290,Very Affordable,Less than 150 reviews,Short term rent is available
4006,Manhattan,Entire home/apt,115,Very Popular,Less than 50 reviews,At least a week should be reserved
4007,Brooklyn,Entire home/apt,299,Very Affordable,Less than 50 reviews,Short term rent is available
4008,Manhattan,Entire home/apt,160,Very Popular,Less than 50 reviews,Short term rent is available
4009,Manhattan,Shared room,175,Very Popular,Less than 10 reviews,Short term rent is available
4010,Manhattan,Private room,120,Affordable,Over 300 reviews,Short term rent is available
4011,Brooklyn,Private room,179,Very Affordable,Less than 10 reviews,Short term rent is available
4012,Brooklyn,Private room,74,Very Popular,Less than 150 reviews,Short term rent is available
4013,Manhattan,Private room,68,Very Affordable,Less than 300 reviews,Short term rent is available
4014,Manhattan,Private room,235,Normal,Less than 50 reviews,Short term rent is available
4015,Brooklyn,Private room,100,Very Popular,Less than 10 reviews,Short term rent is available
4016,Brooklyn,Entire home/apt,270,Very Popular,Less than 50 reviews,Short term rent is available
4017,Brooklyn,Entire home/apt,200,Very Popular,Less than 10 reviews,At least a week should be reserved
4018,Brooklyn,Private room,60,Popular,Less than 10 reviews,Short term rent is available
4019,Manhattan,Entire home/apt,155,Very Affordable,Less than 50 reviews,Short term rent is available
4020,Manhattan,Private room,95,Very Affordable,Less than 300 reviews,Short term rent is available
4021,Manhattan,Entire home/apt,125,Very Popular,Less than 50 reviews,Short term rent is available
4022,Manhattan,Entire home/apt,118,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4023,Manhattan,Private room,80,Very Affordable,Less than 150 reviews,At least a week should be reserved
4024,Brooklyn,Entire home/apt,210,Very Popular,Less than 10 reviews,Short term rent is available
4025,Brooklyn,Entire home/apt,150,Very Popular,Less than 50 reviews,Short term rent is available
4026,Brooklyn,Entire home/apt,135,Very Affordable,Less than 150 reviews,Short term rent is available
4027,Manhattan,Entire home/apt,118,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4028,Manhattan,Private room,110,Normal,Less than 50 reviews,Short term rent is available
4029,Brooklyn,Private room,70,Very Popular,Less than 10 reviews,Short term rent is available
4030,Brooklyn,Private room,43,Very Affordable,Less than 150 reviews,Short term rent is available
4031,Brooklyn,Entire home/apt,140,Very Affordable,Less than 300 reviews,Short term rent is available
4032,Manhattan,Entire home/apt,116,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4033,Brooklyn,Entire home/apt,159,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4034,Brooklyn,Entire home/apt,135,Affordable,Less than 300 reviews,Short term rent is available
4035,Manhattan,Private room,39,Very Affordable,Less than 50 reviews,At least a week should be reserved
4036,Brooklyn,Private room,59,Popular,Less than 50 reviews,At least more than 2 weeks should be reserved
4037,Manhattan,Entire home/apt,600,Very Popular,Less than 10 reviews,At least more than a month should be reserved
4038,Brooklyn,Private room,66,Popular,Less than 10 reviews,Short term rent is available
4039,Manhattan,Entire home/apt,130,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4040,Brooklyn,Entire home/apt,100,Very Affordable,Less than 300 reviews,Short term rent is available
4041,Brooklyn,Private room,50,Normal,Less than 10 reviews,At least a week should be reserved
4042,Manhattan,Private room,185,Very Affordable,Less than 50 reviews,Short term rent is available
4043,Brooklyn,Private room,54,Very Popular,Less than 10 reviews,Short term rent is available
4044,Brooklyn,Entire home/apt,100,Affordable,Less than 10 reviews,Short term rent is available
4045,Manhattan,Entire home/apt,180,Very Popular,Less than 10 reviews,Short term rent is available
4046,Brooklyn,Entire home/apt,115,Popular,Less than 50 reviews,At least more than a month should be reserved
4047,Brooklyn,Entire home/apt,350,Very Popular,Less than 50 reviews,Short term rent is available
4048,Brooklyn,Private room,32,Very Affordable,Less than 10 reviews,At least a week should be reserved
4049,Brooklyn,Entire home/apt,165,Very Affordable,Less than 50 reviews,At least a week should be reserved
4050,Manhattan,Entire home/apt,350,Very Popular,Less than 50 reviews,Short term rent is available
4051,Brooklyn,Entire home/apt,200,Normal,Less than 50 reviews,Short term rent is available
4052,Brooklyn,Entire home/apt,175,Normal,Less than 10 reviews,Short term rent is available
4053,Manhattan,Private room,50,Affordable,Less than 150 reviews,Short term rent is available
4054,Manhattan,Entire home/apt,190,Very Popular,Less than 50 reviews,Short term rent is available
4055,Manhattan,Private room,110,Affordable,Less than 50 reviews,Short term rent is available
4056,Brooklyn,Entire home/apt,414,Very Popular,Less than 10 reviews,Short term rent is available
4057,Manhattan,Entire home/apt,150,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4058,Manhattan,Entire home/apt,93,Normal,Less than 50 reviews,Sublet only
4059,Staten Island,Entire home/apt,175,Popular,Less than 50 reviews,Short term rent is available
4060,Brooklyn,Entire home/apt,155,Very Affordable,Less than 10 reviews,At least more than 2 weeks should be reserved
4061,Brooklyn,Entire home/apt,129,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4062,Bronx,Private room,50,Affordable,Less than 50 reviews,Short term rent is available
4063,Brooklyn,Entire home/apt,499,Popular,Less than 10 reviews,At least a week should be reserved
4064,Brooklyn,Shared room,80,Normal,Less than 10 reviews,Short term rent is available
4065,Queens,Private room,47,Very Popular,Less than 50 reviews,Short term rent is available
4066,Brooklyn,Private room,95,Very Popular,Less than 10 reviews,Short term rent is available
4067,Manhattan,Entire home/apt,249,Very Affordable,Less than 300 reviews,Short term rent is available
4068,Manhattan,Entire home/apt,150,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4069,Manhattan,Private room,77,Very Popular,Less than 150 reviews,Short term rent is available
4070,Brooklyn,Private room,70,Popular,Less than 50 reviews,At least a week should be reserved
4071,Manhattan,Entire home/apt,100,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4072,Manhattan,Entire home/apt,87,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4073,Brooklyn,Entire home/apt,245,Very Popular,Less than 10 reviews,Short term rent is available
4074,Manhattan,Entire home/apt,300,Very Affordable,Less than 150 reviews,Short term rent is available
4075,Manhattan,Private room,55,Very Popular,Less than 10 reviews,Short term rent is available
4076,Manhattan,Entire home/apt,120,Very Popular,Less than 10 reviews,Short term rent is available
4077,Manhattan,Private room,40,Normal,Less than 10 reviews,At least more than a month should be reserved
4078,Manhattan,Private room,115,Very Affordable,Less than 10 reviews,Short term rent is available
4079,Manhattan,Entire home/apt,93,Very Affordable,Less than 50 reviews,At least more than a month should be reserved
4080,Manhattan,Private room,37,Very Popular,Less than 10 reviews,At least more than a month should be reserved
4081,Brooklyn,Entire home/apt,240,Very Popular,Less than 50 reviews,Short term rent is available
4082,Queens,Private room,70,Popular,Less than 150 reviews,Short term rent is available
4083,Brooklyn,Entire home/apt,149,Very Affordable,Less than 10 reviews,At least more than a month should be reserved
4084,Brooklyn,Private room,100,Very Popular,Less than 50 reviews,At least more than 2 weeks should be reserved
4085,Manhattan,Entire home/apt,200,Very Popular,Less than 50 reviews,Short term rent is available
